Genes	ctrl_1	ctrl_2	ctrl_3	ctrl_4	ctrl_5	trt_1	trt_2	trt_3	trt_4	trt_5
AREL1	415	419	84	472	357	310	346	61	262	128
ARF1	1772	264	1833	653	1375	1186	1123	661	786	696
ARF3	2490	1005	878	346	886	1595	257	2023	1516	1597
ARF4	1075	200	748	674	797	1141	295	596	557	1911
ARF5	1609	1210	702	729	888	1081	1000	1063	328	1059
ARF6	1895	472	304	1049	1067	1012	2962	1326	3919	1080
ARFGAP1	436	1788	1732	2030	4911	2691	1487	728	2660	1898
ARFGAP2	324	246	115	147	122	239	179	261	209	238
ARFGAP3	120	87	179	105	73	49	229	76	70	123
ARFGEF1	1175	1079	859	1110	1279	801	317	1578	1273	714
ARFGEF2	71	173	269	146	172	652	361	330	111	339
ARFGEF3	1832	2820	931	952	1970	3211	4722	2755	901	2397
ARFIP1	892	1607	1164	1020	2004	752	600	901	1835	419
ARFIP2	876	1923	453	1100	1734	2880	2066	1216	1806	1306
ARFRP1	302	214	263	967	495	677	546	185	455	346
ARG1	605	694	522	1004	1109	193	90	225	175	40
ARG2	2094	828	1775	533	853	959	1782	940	1182	349
ARGFX	1192	1767	1785	1698	1120	4250	1373	2600	846	1054
ARGLU1	1266	2049	3054	2114	1261	671	2446	2375	3091	1775
ARHGAP1	197	226	443	113	677	158	412	293	343	166
ARHGAP10	394	310	187	460	662	395	207	227	538	339
ARHGAP11A	413	46	167	93	85	147	147	52	212	243
ARHGAP11B	3157	875	2788	3315	1446	1792	1369	1257	2314	1461
ARHGAP12	379	418	261	879	227	717	1064	1099	689	297
ARHGAP15	75	82	42	56	27	39	43	27	100	17
ARHGAP17	433	336	240	743	951	535	400	618	514	248
ARHGAP18	878	525	431	912	663	1294	169	1147	542	322
ARHGAP19	2530	444	1266	1411	2613	780	393	2571	1915	3827
ARHGAP20	838	431	450	3259	1697	2128	1092	1891	1194	557
ARHGAP21	325	860	407	215	416	272	374	309	626	472
ARHGAP22	776	1475	362	775	412	1187	516	2203	218	479
ARHGAP23	261	711	332	207	1021	323	878	829	1721	547
ARHGAP24	43	61	110	238	125	181	115	94	149	115
ARHGAP25	391	227	587	142	153	192	234	137	151	517
ARHGAP26	2046	576	940	1835	650	721	1003	1337	1429	952
ARHGAP27	81	154	149	495	248	404	1062	773	535	1179
ARHGAP28	542	404	903	570	902	270	684	773	547	351
ARHGAP29	991	817	483	741	537	807	523	303	488	677
ARHGAP30	2123	787	1629	1113	1948	1605	1750	1196	1034	1624
ARHGAP31	1240	272	1701	640	336	1142	474	684	1354	2692
ARHGAP32	1264	1217	902	1552	1714	1210	1576	1166	917	1383
ARHGAP33	2340	1540	720	902	584	1345	7436	4483	3231	7743
ARHGAP35	742	1610	2001	1242	1966	467	1329	738	1169	713
ARHGAP36	38	44	112	74	61	41	16	10	7	5
ARHGAP39	1278	2281	2330	615	1596	388	1410	1012	2368	2408
ARHGAP4	272	216	58	233	244	209	270	253	213	151
ARHGAP40	548	488	828	536	647	757	1260	1098	305	1275
ARHGAP42	476	676	1796	1295	1338	681	557	992	697	690
ARHGAP44	340	1539	768	895	479	258	86	244	85	31
ARHGAP45	1533	1632	2068	2167	533	2787	1504	1442	1322	3322
ARHGAP5	770	207	856	1548	1016	1318	388	507	212	215
ARHGAP6	2239	2428	1105	726	2106	1500	1387	696	1951	1190
ARHGAP8	2508	1936	969	1715	1388	2267	2793	3209	1226	2203
ARHGAP9	1384	2597	1674	929	4531	5397	8839	10649	18043	7118
ARHGDIA	2565	618	2141	1482	1163	12239	5886	7932	4180	9917
ARHGDIB	761	2087	2122	534	2786	952	1013	1097	847	2562
ARHGDIG	2929	198	3352	873	346	1294	1714	1845	860	1972
ARHGEF1	608	769	482	784	893	440	503	444	304	350
ARHGEF10	221	509	174	311	151	208	361	169	225	180
ARHGEF10L	650	1374	1429	307	588	1028	264	1591	765	902
ARHGEF11	1880	2498	1743	7167	1114	2427	3121	1365	383	3343
ARHGEF12	1086	1486	2520	1907	1648	606	3465	854	1507	2644
ARHGEF15	2885	2307	788	2454	2060	1873	1452	2341	1136	2333
ARHGEF16	815	2174	1352	792	1787	2118	2021	2822	4589	1751
ARHGEF17	452	502	316	263	191	398	76	599	262	412
ARHGEF18	448	696	342	354	376	294	508	189	258	583
ARHGEF19	787	1186	514	758	537	639	534	1126	1218	1971
ARHGEF2	218	540	69	74	196	516	247	464	140	269
ARHGEF25	1062	1252	914	1817	1695	1619	1894	1306	209	868
ARHGEF26	570	5073	1119	2258	3606	4389	3388	1148	3910	2821
ARHGEF28	1534	1224	1884	1396	1269	1067	935	3018	1121	742
ARHGEF3	742	991	906	663	971	1277	588	2028	1485	269
ARHGEF33	39	70	127	72	21	23	70	26	113	25
ARHGEF35	478	296	307	489	867	862	508	443	459	350
ARHGEF37	934	482	1224	1348	224	658	1538	1477	1602	195
ARHGEF38	479	364	424	1287	663	556	1478	480	242	1074
ARHGEF39	391	273	257	338	176	1890	347	934	896	2301
ARHGEF4	890	882	753	583	1218	277	885	608	1657	491
ARHGEF40	246	274	823	440	487	621	672	255	381	821
ARHGEF5	2695	4464	1830	2235	2034	3541	1284	1601	1260	1459
ARHGEF6	239	228	221	308	84	233	434	70	320	119
ARHGEF7	154	51	97	328	210	387	44	121	111	183
ARHGEF9	29	32	110	57	52	101	46	45	56	47
ARID1A	171	946	677	1318	701	957	1525	255	407	1145
ARID1B	1479	908	1238	888	413	352	835	1277	1282	1101
ARID2	1344	211	1271	3790	1327	1550	1264	514	1586	2390
ARID3A	799	1524	2090	322	1751	324	1051	311	954	778
ARID3B	1177	1088	870	827	633	1578	1620	662	1376	1718
ARID3C	1268	605	970	724	744	955	557	1505	1448	1042
ARID4A	2338	541	736	636	1121	2128	3294	1870	739	497
ARID4B	168	114	85	47	194	71	200	108	117	86
ARID5A	1604	562	621	514	323	220	340	1492	414	725
ARID5B	2280	1113	1561	1516	1642	1171	778	3382	2309	1301
ARIH1	1052	2144	1451	674	2575	1472	2361	1287	2656	1047
ARIH2	2489	394	688	1669	2662	796	1032	1169	1394	1959
ARIH2OS	415	146	118	188	762	472	736	568	58	371
ARL1	293	776	1087	850	800	398	317	296	235	400
ARL10	1141	1165	1100	2383	3172	366	1262	1282	1470	5155
ARL11	107	204	387	180	167	126	284	241	230	290
ARL13A	405	407	489	268	353	119	398	260	191	312
ARL13B	62	118	263	308	250	231	154	235	254	254
ARL14	138	152	855	665	1081	555	307	477	739	455
ARL14EP	462	424	650	286	483	228	336	415	345	408
ARL14EPL	1800	417	644	609	661	1158	1191	703	730	851
ARL15	501	433	2170	615	883	1083	608	505	92	636
ARL16	1163	739	1084	1402	2421	4467	3206	1481	499	1678
ARL17A	109	140	29	88	104	190	136	71	146	73
ARL17B	711	1021	658	247	712	896	422	239	203	988
ARL2	2008	904	2226	1050	719	344	2228	997	1546	1503
ARL2BP	1374	1410	1810	811	322	6892	4912	8530	3790	6721
ARL3	436	1068	1567	1317	1634	418	919	1107	496	788
ARL4A	4021	1495	976	1414	839	3177	2238	1825	855	1577
ARL4C	195	169	86	68	267	41	74	152	125	86
ARL4D	552	1691	1895	1051	720	681	1266	1862	1829	845
ARL5A	172	660	662	464	677	725	2134	1629	292	953
ARL5B	361	251	382	380	136	211	433	333	352	311
ARL5C	1111	2016	1581	1608	1105	2077	2020	954	2501	860
ARL6	1234	488	1375	1304	452	1261	1220	3337	152	1314
ARL6IP1	231	191	371	339	219	344	499	160	197	292
ARL6IP4	51	95	85	146	89	99	64	198	92	107
ARL6IP5	374	222	403	152	612	139	644	352	406	221
ARL6IP6	2299	736	1994	570	1922	1530	214	1950	984	789
ARL8A	556	467	386	329	434	403	327	786	337	424
ARL8B	331	262	581	788	359	308	443	838	1421	282
ARL9	174	72	79	124	81	57	165	43	119	112
ARMC1	649	1215	1785	1677	1399	775	421	893	3338	567
ARMC10	2844	2841	958	941	1523	2286	1080	1166	4030	1902
ARMC12	2591	1528	1207	306	1516	928	1368	1076	572	1565
ARMC2	258	364	366	115	351	180	644	428	175	357
ARMC3	3260	2604	2008	3104	1980	1521	1094	610	641	4749
ARMC4	332	1723	1716	3061	522	1985	1786	1497	645	888
ARMC5	1184	1501	635	1176	2257	218	2070	360	578	962
ARMC6	1119	802	496	584	734	723	1210	502	752	1020
ARMC7	415	1716	649	2528	1279	706	1256	1260	686	806
ARMC8	2393	1395	1008	1938	362	3019	1028	1603	2502	2141
ARMC9	305	358	191	181	295	159	264	169	50	260
ARMCX1	934	1002	796	252	541	201	2026	1048	871	919
ARMCX2	2166	1918	3728	800	2003	3907	1278	2731	2551	775
ARMCX3	1388	2712	3744	931	1240	2048	2008	2068	2903	1354
ARMCX4	730	1464	816	2332	2341	4568	13206	11190	2861	5899
ARMCX5	1684	1065	1694	1171	3409	848	1652	1922	3588	1085
ARMCX5-GPRASP2	597	261	157	94	373	440	528	731	210	80
ARMCX6	74	42	20	150	73	103	70	201	64	107
ARMH1	1602	544	798	1315	1308	179	244	716	96	1385
ARMH2	712	1264	835	348	2340	915	2759	1379	616	1622
ARMH3	225	209	772	188	602	222	699	576	131	471
ARMH4	139	629	332	165	375	422	124	214	236	191
ARMS2	1033	1152	767	639	1357	1978	1736	817	1383	2192
ARMT1	951	1888	885	2884	1130	2696	370	844	977	1725
ARNT	2370	879	1587	3192	4153	3325	599	1819	2477	2658
ARNT2	737	1817	1340	1319	1473	252	2477	2083	1620	667
ARNTL	1709	1166	1738	989	2476	4632	13239	7396	2560	8125
ARNTL2	241	813	1064	860	1431	1238	2343	979	1820	2241
ARPC1A	1982	1398	2104	1743	840	2345	2905	4283	385	1965
ARPC1B	1535	1242	1617	1229	1475	234	350	322	200	353
ARPC2	1183	1890	3046	906	1852	2082	2210	814	1737	2442
ARPC3	548	595	1425	3131	4149	2928	1044	868	960	3495
ARPC4	1898	1947	1695	1401	2405	3934	1224	1702	2734	1112
ARPC4-TTLL3	1470	941	1432	391	331	316	149	409	501	559
ARPC5	261	101	528	136	106	97	175	147	374	142
ARPC5L	335	326	241	255	669	457	442	219	580	241
ARPIN	94	233	151	79	61	40	27	43	102	41
ARPP19	300	599	143	470	466	156	134	463	212	283
ARPP21	487	407	143	205	216	472	372	525	332	565
ARR3	292	980	223	1770	613	748	507	1742	578	874
ARRB1	1442	1009	311	3813	731	578	867	983	271	1793
ARRB2	1338	3962	721	404	1466	891	2687	950	2240	4066
ARRDC1	257	431	1129	363	599	5555	1416	3330	2615	245
ARRDC2	2178	1185	505	2175	2366	1938	774	1841	1542	1775
ARRDC3	1076	596	1397	1159	617	1598	466	2315	1192	1315
ARRDC4	538	603	932	641	630	193	190	291	698	296
ARRDC5	1349	3249	749	2694	664	353	2637	3085	1084	765
ARSA	173	233	366	200	213	299	221	120	67	271
ARSB	718	754	860	500	254	2051	809	1693	2179	857
ARSD	655	809	414	1173	1135	813	304	2002	594	403
ARSE	232	291	392	189	199	270	268	202	47	268
ARSF	1484	1656	756	1052	1173	1580	2201	906	120	1167
ARSG	637	419	1520	708	1189	286	764	774	335	483
ARSH	279	418	1215	515	413	652	202	361	1279	407
ARSI	427	435	434	487	528	306	74	738	550	501
ARSJ	708	378	379	1283	729	425	246	622	618	773
ARSK	1019	809	793	1272	1551	1123	375	3784	1753	1094
ART1	517	1160	765	2213	2539	783	1371	1350	1356	593
ART3	406	66	705	174	528	930	425	179	443	218
ART4	84	370	426	453	189	206	170	537	528	462
ART5	73	69	158	145	65	141	201	88	65	79
ARTN	103	45	181	49	68	34	46	70	34	103
ARV1	3262	1537	614	1821	2390	1589	617	2090	1434	1237
ARVCF	23	278	74	168	157	76	238	90	35	220
ARX	3385	1055	382	2209	691	2756	573	1880	733	701
AS3MT	2399	777	3000	2196	1725	540	166	1114	518	553
ASAH1	24	249	90	55	138	78	186	499	452	147
ASAH2	165	1348	173	875	1353	447	802	1140	829	973
ASAH2B	5211	2384	626	1768	2266	2587	1167	3098	1240	3721
ASAP1	404	2279	1628	870	823	863	148	146	425	629
ASAP2	1425	1368	250	759	1306	1590	6344	7369	8967	6831
ASAP3	388	2616	1264	1321	1123	1316	768	2352	3537	2692
ASB1	2246	2942	3044	1379	1367	295	1199	1571	2348	1618
ASB10	248	707	318	723	850	1168	261	347	684	450
ASB11	1562	3599	1970	1584	1695	765	1617	1365	1779	2233
ASB12	2121	2001	118	916	287	1081	916	393	2106	1810
ASB13	516	183	958	1034	517	1782	801	1567	1149	1120
ASB14	1842	5361	1641	3017	2407	1872	1608	1204	1673	2298
ASB15	1161	2194	1619	2608	3359	3271	665	2227	987	361
ASB16	572	672	412	321	384	3505	3138	2524	3520	3871
ASB17	82	77	109	31	105	28	82	65	53	26
ASB18	932	904	677	3153	1415	4654	3722	5898	4133	8047
ASB2	1246	1171	1339	1418	920	4371	1457	921	1937	914
ASB3	2212	985	1165	657	2053	676	1222	2000	1428	929
ASB4	3014	2036	1012	1884	4182	924	3290	890	708	2481
ASB5	715	1580	1098	2188	2248	1190	784	1570	2047	1293
ASB6	523	1222	295	1911	530	499	831	493	603	152
ASB7	129	116	158	251	568	189	260	346	231	322
ASB8	2203	861	2655	630	619	1195	1955	1516	499	1264
ASB9	655	2132	927	712	1012	2507	1279	1289	1686	999
ASCC1	1006	2126	669	673	456	1081	618	1434	707	72
ASCC2	1218	896	2058	750	821	223	1071	568	960	870
ASCC3	1261	319	896	791	1203	872	730	1079	1047	1634
ASCL1	557	661	699	687	1185	747	323	551	478	293
ASCL2	464	422	181	339	764	958	547	425	1140	462
ASCL3	844	482	992	1377	979	1083	897	583	585	1039
ASCL4	275	401	317	296	191	369	385	658	555	444
ASCL5	122	761	167	416	1133	399	299	1249	515	816
ASDURF	695	1102	1220	825	330	1359	396	116	874	363
ASF1A	2809	1722	971	1129	1542	3948	561	1344	1080	1207
ASF1B	212	126	172	237	172	241	155	311	56	240
ASGR1	1415	1983	1599	1157	2824	1102	1664	3229	1104	1507
ASGR2	1322	998	654	1106	855	1295	999	981	694	1079
ASH1L	848	667	667	1434	318	74	457	449	492	211
ASH2L	2082	2945	1797	1124	689	1139	1356	1072	1484	1284
ASIC1	1218	280	783	323	641	4889	1961	2303	1722	3743
ASIC2	1353	1873	1016	816	741	990	784	1357	383	2097
ASIC3	2160	1588	771	2262	803	417	1405	539	216	142
ASIC4	808	3116	1771	666	527	1032	1763	999	1754	2302
ASIC5	2087	1398	1680	1734	701	893	3655	5227	1441	2473
ASIP	1328	1363	680	1610	2458	1396	1109	1165	2607	1235
ASL	320	705	721	267	79	389	496	586	98	311
ASMT	57	176	216	49	94	251	89	267	231	373
ASMTL	1158	2653	974	802	726	523	303	184	309	369
ASNA1	749	311	270	527	616	448	256	197	143	99
ASNS	445	733	1270	240	961	453	937	305	434	485
ASNSD1	568	1409	1009	2668	490	3248	1802	2725	605	869
ASPA	819	347	357	576	472	1259	1221	902	635	951
ASPDH	759	167	329	1221	747	469	632	793	507	1254
ASPG	905	1656	2380	2058	3545	1681	1899	1569	2676	944
ASPH	3608	1875	2618	451	551	3030	1217	1331	1747	1363
ASPHD1	988	1148	824	649	508	773	618	859	960	1817
ASPHD2	2368	730	2006	2838	918	2501	1623	1151	1826	1544
ASPM	3718	532	719	1328	855	784	1703	1812	1457	834
ASPN	825	610	638	296	737	1698	302	1689	824	724
ASPRV1	263	109	117	115	229	53	55	212	256	125
ASPSCR1	112	57	22	27	53	19	9	42	24	43
ASRGL1	704	859	955	1377	606	702	842	1111	1492	801
ASS1	692	456	699	199	394	670	375	496	548	418
ASTE1	1874	1143	2286	2578	1964	1168	1071	2406	1631	168
ASTL	655	281	1260	1608	2092	682	1052	2550	2081	1158
ASTN1	3267	854	628	685	1966	1732	1470	1530	2461	304
ASTN2	2252	1977	1966	1735	1750	1028	2342	1477	2491	935
ASXL1	1546	2749	3132	1262	730	656	692	593	386	103
ASXL2	136	1271	249	285	464	463	1079	230	571	785
ASXL3	660	308	512	472	177	545	393	82	275	216
ASZ1	959	1500	1186	870	1076	538	325	1473	871	1408
ATAD1	335	1837	515	218	449	1022	991	1015	765	504
ATAD2	645	944	775	1046	1332	283	259	120	218	172
ATAD2B	511	2297	732	630	2313	2244	1034	1459	823	533
ATAD3A	1152	1669	3663	3383	1786	1375	361	2422	2185	2744
ATAD3B	1215	1343	1429	315	1062	179	191	198	144	117
ATAD3C	821	1488	1297	545	878	247	2255	2254	3242	1839
ATAD5	1250	58	169	194	719	853	543	485	203	348
ATAT1	525	3604	1296	1198	1620	1271	1052	2502	1461	1025
ATCAY	7	33	34	62	54	40	61	119	13	28
ATE1	1686	334	1390	1644	2149	1378	3939	4135	10148	3410
ATF1	90	169	167	173	83	37	71	59	145	146
ATF2	2458	713	769	1533	1121	333	532	255	158	89
ATF3	205	134	34	429	68	299	78	97	62	342
ATF4	705	522	1295	606	670	652	1468	321	610	500
ATF5	689	1094	2830	1263	2416	2843	1573	1353	975	1755
ATF6	1510	862	3244	1306	1127	503	740	226	1057	173
ATF6B	179	436	178	493	448	110	248	191	459	356
ATF7	431	802	1159	638	495	1078	1283	386	600	805
ATF7IP	1016	880	1643	1406	1571	1990	853	2229	1982	931
ATF7IP2	1925	329	785	1787	1606	1023	725	2377	1082	1227
ATG10	285	70	269	171	82	157	192	57	242	66
ATG101	1113	1023	3800	693	714	1226	1216	2203	2763	696
ATG12	105	68	109	176	146	161	202	269	130	158
ATG13	805	984	610	709	1289	1217	1168	755	2254	1876
ATG14	1090	578	694	226	485	755	593	461	953	388
ATG16L1	439	1105	113	2168	1472	988	1237	2204	1276	515
ATG16L2	186	942	1355	229	690	301	265	304	815	268
ATG2A	1760	1914	3465	1046	3564	2926	606	1945	1496	631
ATG2B	286	288	500	1158	652	333	573	1143	997	808
ATG3	724	258	1244	444	540	2677	1800	2740	1736	2536
ATG4A	253	654	717	788	321	551	1275	268	167	633
ATG4B	1359	1355	1215	2854	829	2329	1180	1776	1464	1242
ATG4C	2589	201	784	992	1042	1191	1160	996	1912	2205
ATG4D	727	1116	2053	1534	1032	1266	2021	2276	1514	1215
ATG5	1721	2004	1981	1029	1767	813	1194	2460	1598	541
ATG7	2479	961	556	1470	3384	2619	2085	5118	2842	375
ATG9A	834	1983	1175	2416	1099	2002	1655	2336	2562	1199
ATG9B	715	460	347	476	514	504	282	547	127	384
ATIC	1253	1857	951	3457	649	488	650	581	266	502
ATL1	351	323	225	522	451	728	315	171	286	463
ATL2	667	1808	815	1508	721	1703	522	2746	991	1912
ATL3	922	1374	1139	1439	943	2860	1017	2151	2629	1590
ATM	918	5496	881	1284	905	2356	938	1819	1292	453
ATMIN	759	821	408	1160	585	1439	250	957	1866	768
ATN1	723	1799	1417	1027	965	825	743	863	1004	1086
ATOH1	1739	927	926	681	1525	12408	15621	7029	2764	1726
ATOH7	305	164	99	181	240	58	318	220	121	177
ATOH8	835	345	406	615	222	643	735	443	1226	881
ATOX1	2015	511	1637	519	1799	1715	723	1854	1665	1437
ATP10A	2333	1277	654	1066	1058	3298	4507	3827	614	856
ATP10B	23	190	166	177	365	200	460	197	364	124
ATP10D	74	108	80	133	8	42	32	150	73	84
ATP11A	149	102	117	124	262	166	149	49	74	200
ATP11AUN	117	170	96	88	218	206	78	335	196	134
ATP11B	969	509	1978	1262	938	1214	785	1496	1674	745
ATP11C	1380	1996	420	919	826	2030	468	1866	983	1597
ATP12A	1242	3813	827	1668	1911	1174	514	1805	858	1513
ATP13A1	1334	1032	2274	758	463	1925	1207	1175	1486	1647
ATP13A2	387	2121	1446	2397	928	3217	2183	709	1478	1615
ATP13A3	263	430	241	472	145	334	562	496	325	319
ATP13A4	462	638	494	513	795	1307	648	1004	722	1267
ATP13A5	444	196	1786	646	1271	1982	1128	1174	762	1367
ATP1A1	388	177	408	220	267	338	287	232	138	278
ATP1A2	1392	952	977	1004	828	656	561	756	1098	1012
ATP1A3	694	246	339	919	395	1164	542	894	1074	943
ATP1A4	130	104	138	81	228	85	51	243	149	50
ATP1B1	274	142	291	506	228	394	509	206	543	226
ATP1B2	3117	657	373	1034	1175	1572	1569	994	217	819
ATP1B3	41	175	77	74	50	493	603	188	195	206
ATP1B4	2849	1539	265	2519	1317	1612	1545	536	134	1514
ATP23	203	252	56	293	37	108	73	204	111	184
ATP2A1	1991	949	1338	358	2182	554	901	3529	967	2922
ATP2A2	1831	3149	1135	2274	1597	5871	518	1066	1567	2709
ATP2A3	1100	2124	1297	3403	1374	3089	2938	3126	879	2325
ATP2B1	1378	1480	1431	1535	1940	2408	2643	1742	5601	15618
ATP2B2	235	587	206	191	308	134	113	195	280	69
ATP2B3	494	1537	503	644	308	1037	1329	617	462	328
ATP2B4	921	1615	442	2005	308	2056	402	1236	996	548
ATP2C1	423	184	303	319	172	94	324	166	264	849
ATP2C2	67	139	92	44	199	76	82	135	96	127
ATP4A	1799	1133	3164	2706	3973	236	2256	1323	2699	1937
ATP4B	468	1255	1090	844	444	1552	1321	1558	953	1687
ATP5F1A	225	1945	912	319	1064	4706	2223	8048	1945	6144
ATP5F1B	1041	1062	804	2190	1744	2714	2543	2317	2290	1974
ATP5F1C	2103	2043	1110	1093	1046	1038	845	851	915	2598
ATP5F1D	2306	925	2347	611	580	966	1442	170	1094	763
ATP5F1E	943	1387	850	1035	2492	1321	983	2330	1454	658
ATP5IF1	296	228	527	226	216	129	76	250	141	105
ATP5MC1	568	528	241	779	959	925	876	484	1263	226
ATP5MC2	7058	4342	805	1710	2208	1438	3179	2704	2672	743
ATP5MC3	2715	2454	1056	1735	1246	1340	1484	797	455	2850
ATP5MD	739	1258	2583	2798	2924	1397	1366	657	1102	2931
ATP5ME	1551	1150	502	1190	749	1143	1360	1156	1220	551
ATP5MF	1805	978	1525	1589	2140	1076	1455	2501	1329	2254
ATP5MF-PTCD1	190	58	225	84	396	80	117	130	180	36
ATP5MG	123	378	112	288	346	488	177	479	224	514
ATP5MGL	927	903	2334	667	406	364	681	690	792	728
ATP5MPL	460	53	686	1247	797	1824	440	2611	648	561
ATP5PB	498	936	564	243	168	548	956	736	271	461
ATP5PD	649	556	346	223	940	1144	564	265	1225	454
ATP5PF	1058	289	81	38	303	137	294	90	184	315
ATP5PO	319	1846	2557	1266	686	1739	657	3819	1563	409
ATP6	837	1541	923	1660	1725	2251	1817	534	575	856
ATP6AP1	743	1079	1058	606	2102	838	969	823	3153	1407
ATP6AP1L	624	261	184	175	476	157	252	144	325	104
ATP6AP2	1030	253	625	482	1512	476	920	491	622	1127
ATP6V0A1	1124	996	1292	2144	766	567	1719	1100	835	411
ATP6V0A2	1849	372	1123	363	1618	484	957	847	711	1009
ATP6V0A4	462	385	362	1070	289	1840	715	356	440	343
ATP6V0B	2652	777	1104	1481	1990	559	623	2210	2162	2454
ATP6V0C	1145	1598	1773	1030	1493	465	1730	846	2402	1520
ATP6V0D1	353	183	261	240	170	575	214	107	331	94
ATP6V0D2	384	556	285	548	179	196	397	939	188	1460
ATP6V0E1	805	782	1547	1094	348	857	954	1205	228	802
ATP6V0E2	1138	1347	2178	459	1422	1699	1495	576	460	781
ATP6V1A	470	413	198	459	270	313	382	406	212	225
ATP6V1B1	180	168	553	335	573	132	756	165	556	188
ATP6V1B2	128	846	477	733	714	222	1499	231	532	317
ATP6V1C1	1771	1390	1691	1664	1264	970	1392	1244	743	3213
ATP6V1C2	1708	3774	1753	1571	1469	814	581	1778	661	1637
ATP6V1D	501	1388	189	395	1400	1017	1713	1117	1823	2024
ATP6V1E1	3194	2720	1397	1609	2691	1062	1721	1099	5032	720
ATP6V1E2	595	116	61	163	320	506	480	250	1066	451
ATP6V1F	1929	1565	1246	1738	2022	1461	2719	602	1047	1191
ATP6V1FNB	3653	785	1005	748	918	1169	1523	1393	426	2304
ATP6V1G1	1252	1432	554	877	974	411	785	1410	565	656
ATP6V1G2	1189	2050	2760	1307	2939	2120	4128	1039	947	814
ATP6V1G3	1851	1785	1910	3310	890	1255	1861	546	1802	1038
ATP6V1H	1632	2864	2443	1433	1328	467	3053	2815	1715	1173
ATP7A	313	130	213	215	140	271	206	131	358	223
ATP7B	2820	1055	1391	1066	2823	1659	1509	3047	1174	2097
ATP8	1489	1650	703	635	3660	2902	4430	1783	1958	525
ATP8A1	497	500	320	470	757	929	467	542	644	990
ATP8A2	256	33	132	84	57	23	100	59	71	122
ATP8B1	358	371	409	708	403	647	215	538	159	387
ATP8B2	1675	2004	2172	3820	2266	1834	926	1894	3807	1765
ATP8B3	1888	172	577	449	762	3603	13528	1437	9947	4096
ATP8B4	1000	754	430	1181	276	634	419	534	1520	480
ATP9A	400	237	320	818	644	529	365	104	883	1500
ATP9B	339	543	450	327	460	1611	210	808	247	348
ATPAF1	817	2762	625	3915	429	1421	1182	2471	621	1615
ATPAF2	1426	1729	378	1247	286	672	806	1272	578	527
ATR	1212	1414	1335	1859	1474	1046	1562	1875	2286	1151
ATRAID	2282	1410	1748	900	2450	647	1332	1354	702	1779
ATRIP	944	1810	833	1651	2091	778	951	3221	1124	368
ATRN	817	409	672	494	817	560	738	566	675	209
ATRNL1	312	94	209	152	141	332	168	244	203	218
ATRX	430	1191	484	733	519	254	1429	486	833	692
ATXN1	187	504	253	228	170	598	543	241	1702	454
ATXN10	395	274	718	324	758	789	643	836	520	364
ATXN1L	1529	1742	6901	1471	5337	2443	2552	1832	1628	2136
ATXN2	840	1008	1063	985	1447	162	147	170	363	365
ATXN2L	269	241	525	610	478	82	350	437	142	320
ATXN3	547	885	116	476	728	138	357	324	260	454
ATXN3L	691	1110	576	702	626	321	771	1913	366	441
ATXN7	3375	3363	1685	1635	737	2060	898	1627	1623	2838
ATXN7L1	992	663	480	602	1542	91	395	423	677	80
ATXN7L2	130	1070	108	193	281	314	520	1180	292	859
ATXN7L3	777	1975	1061	1892	1207	1730	160	882	882	1848
ATXN7L3B	412	508	190	1033	1034	502	348	714	150	430
ATXN8	182	273	377	1002	262	75	72	228	22	165
AUH	252	294	539	356	52	1402	534	111	206	180
AUNIP	518	1086	855	497	660	348	885	640	819	337
AUP1	57	393	173	223	424	231	282	329	129	533
AURKA	81	41	145	128	72	61	105	69	108	107
AURKAIP1	1678	1183	1204	207	4237	1150	1859	1502	1068	838
AURKB	182	343	591	95	109	333	887	424	159	244
AURKC	1067	2461	1074	1445	2682	1309	870	883	761	1006
AUTS2	1401	1340	1295	379	1362	5689	4421	553	4467	8425
AVEN	534	2021	1614	749	1441	767	760	782	919	288
AVIL	596	651	553	343	1382	351	536	478	750	590
AVL9	258	393	169	461	400	445	226	423	150	287
AVP	1686	1294	1325	252	1127	1826	1489	351	1746	2361
AVPI1	1445	518	1615	1091	351	1680	1722	1218	654	880
AVPR1A	965	2450	1517	881	432	2401	1600	1314	1098	991
AVPR1B	161	65	41	33	33	59	46	38	65	37
AVPR2	1874	2827	3520	2507	1028	640	330	358	749	284
AWAT1	102	205	309	206	71	61	61	53	76	328
AWAT2	758	487	345	942	1215	1361	288	503	616	950
AXDND1	685	1113	479	995	694	586	437	1648	1511	200
AXIN1	87	41	50	26	47	48	35	108	79	20
AXIN2	202	978	769	794	397	371	335	234	197	189
AXL	2696	1014	1091	1632	3651	2669	2227	2141	1012	1731
AZGP1	1285	1178	1488	416	3163	489	2331	547	667	3709
AZI2	2998	1107	1132	887	3885	1350	798	1121	1017	1747
AZIN1	1040	815	520	712	1145	1474	996	1006	567	1296
AZIN2	2361	976	1792	2239	850	614	966	2508	3039	862
AZU1	388	47	246	168	175	248	224	127	181	106
B2M	845	1495	1013	1012	2008	1181	382	1241	838	841
B3GALNT1	346	249	115	487	356	346	194	255	259	338
B3GALNT2	782	970	457	654	510	1000	573	291	1457	797
B3GALT1	938	193	453	486	939	997	714	1354	796	873
B3GALT2	396	1264	644	1247	998	1235	1836	592	687	983
B3GALT4	691	758	371	2321	698	257	560	560	311	273
